Bigram                        		Count          		Probabiltites
will be                       		25.0           		8.524858E-4
be submitted                  		0.21753784     		7.417917E-6
submitted for                 		0.21753784     		7.417917E-6
for approval                  		0.21753784     		7.417917E-6
approval by                   		1.0042528      		3.424445E-5
by the                        		0.0            		0.0
the board                     		0.0            		0.0
board of                      		18.666666      		6.365227E-4
of the                        		0.0            		0.0
the British                   		4.0147057      		1.368992E-4
British company               		0.21753784     		7.417917E-6
company .                     		46.0           		0.001568574
. But                         		27.0           		9.206847E-4
But in                        		0.21753784     		7.417917E-6
in 1935                       		0.21753784     		7.417917E-6
1935 ,                        		0.21753784     		7.417917E-6
, when                        		11.25          		3.8361864E-4
when Congress                 		0.21753784     		7.417917E-6
Congress was                  		1.0042528      		3.424445E-5
was trying                    		0.21753784     		7.417917E-6
trying to                     		9.529411       		3.2494753E-4
to find                       		1.8874773      		6.4361906E-5
find someone                  		0.21753784     		7.417917E-6
someone or                    		0.21753784     		7.417917E-6
or something                  		0.21753784     		7.417917E-6
something to                  		0.21753784     		7.417917E-6
to blame                      		0.21753784     		7.417917E-6
blame for                     		0.21753784     		7.417917E-6
for the                       		0.0            		0.0
the Great                     		0.21753784     		7.417917E-6
Great Depression              		0.21753784     		7.417917E-6
Depression ,                  		0.21753784     		7.417917E-6
, it                          		14.733334      		5.0239835E-4
it decided                    		0.21753784     		7.417917E-6
decided to                    		2.6153846      		8.918314E-5
to drop                       		1.0042528      		3.424445E-5
drop both                     		0.21753784     		7.417917E-6
both the                      		1.0042528      		3.424445E-5
the secretary                 		1.0042528      		3.424445E-5
secretary and                 		0.21753784     		7.417917E-6
and the                       		0.0            		0.0
the comptroller               		1.0042528      		3.424445E-5
comptroller from              		0.21753784     		7.417917E-6
from the                      		46.0           		0.001568574
the board                     		0.0            		0.0
board .                       		0.0            		0.0
. Treasury                    		0.21753784     		7.417917E-6
Treasury Undersecretary       		0.21753784     		7.417917E-6
Undersecretary David          		0.21753784     		7.417917E-6
David Mulford                 		0.21753784     		7.417917E-6
Mulford ,                     		0.21753784     		7.417917E-6
, for                         		3.9230769      		1.337747E-4
for instance                  		0.21753784     		7.417917E-6
instance ,                    		0.21753784     		7.417917E-6
, was                         		52.0           		0.0017731705
was at                        		1.0042528      		3.424445E-5
at a                          		17.0           		5.796904E-4
a meeting                     		1.0042528      		3.424445E-5
meeting of                    		0.21753784     		7.417917E-6
of the                        		0.0            		0.0
the Business                  		1.8874773      		6.4361906E-5
Business Council              		1.8874773      		6.4361906E-5
Council in                    		0.21753784     		7.417917E-6
in Hot                        		0.21753784     		7.417917E-6
Hot Springs                   		0.21753784     		7.417917E-6
Springs ,                     		0.21753784     		7.417917E-6
, Va.                         		0.21753784     		7.417917E-6
Va. ,                         		0.21753784     		7.417917E-6
, when                        		11.25          		3.8361864E-4
when the                      		3.9230769      		1.337747E-4
the stock                     		9.529411       		3.2494753E-4
stock market                  		2.6153846      		8.918314E-5
market fell                   		0.21753784     		7.417917E-6
fell ,                        		0.21753784     		7.417917E-6
, and                         		0.0            		0.0
and remained                  		0.21753784     		7.417917E-6
remained there                		0.21753784     		7.417917E-6
there through                 		0.21753784     		7.417917E-6
through the                   		5.8333335      		1.9891337E-4
the following                 		0.21753784     		7.417917E-6
following day                 		0.21753784     		7.417917E-6
day .                         		0.21753784     		7.417917E-6
. He                          		0.0            		0.0
He will                       		4.0147057      		1.368992E-4
will remain                   		4.117647       		1.4040944E-4
remain chairman               		4.0147057      		1.368992E-4
chairman .                    		9.5            		3.239446E-4
. The                         		0.0            		0.0
The memo                      		0.21753784     		7.417917E-6
memo attempts                 		0.21753784     		7.417917E-6
attempts to                   		1.0042528      		3.424445E-5
to remove                     		1.0042528      		3.424445E-5
remove the                    		0.21753784     		7.417917E-6
the tourist                   		1.8874773      		6.4361906E-5
tourist board                 		1.8874773      		6.4361906E-5
board as                      		2.6153846      		8.918314E-5
as far                        		0.21753784     		7.417917E-6
far as                        		0.21753784     		7.417917E-6
as possible                   		0.21753784     		7.417917E-6
possible from                 		0.21753784     		7.417917E-6
from the                      		46.0           		0.001568574
the agency                    		3.9230769      		1.337747E-4
agency ,                      		0.21753784     		7.417917E-6
, which                       		9.5            		3.239446E-4
which pleaded                 		0.21753784     		7.417917E-6
pleaded innocent              		0.21753784     		7.417917E-6
innocent to                   		0.21753784     		7.417917E-6
to the                        		0.0            		0.0
the charges                   		0.21753784     		7.417917E-6
charges .                     		0.21753784     		7.417917E-6
. J.                          		0.21753784     		7.417917E-6
J. Michael                    		0.21753784     		7.417917E-6
Michael Cook                  		0.21753784     		7.417917E-6
Cook ,                        		0.21753784     		7.417917E-6
, chairman                    		0.0            		0.0
chairman of                   		0.0            		0.0
of Deloitte                   		0.21753784     		7.417917E-6
Deloitte ,                    		0.21753784     		7.417917E-6
, Haskins                     		0.21753784     		7.417917E-6
Haskins &                     		0.21753784     		7.417917E-6
& Sells                       		0.21753784     		7.417917E-6
Sells International           		0.21753784     		7.417917E-6
International ,               		0.21753784     		7.417917E-6
, said                        		0.0            		0.0
said he                       		8.8            		3.0007501E-4
he believes                   		0.21753784     		7.417917E-6
believes the                  		0.21753784     		7.417917E-6
the legal                     		0.21753784     		7.417917E-6
legal action                  		1.0042528      		3.424445E-5
action by                     		0.21753784     		7.417917E-6
by the                        		0.0            		0.0
the British                   		4.0147057      		1.368992E-4
British firm                  		0.21753784     		7.417917E-6
firm ``                       		0.21753784     		7.417917E-6
`` to                         		2.6153846      		8.918314E-5
to be                         		29.0           		9.888835E-4
be without                    		0.21753784     		7.417917E-6
without merit                 		0.21753784     		7.417917E-6
merit .                       		0.21753784     		7.417917E-6
. ''                          		65.0           		0.0022164632
'' Other                      		0.21753784     		7.417917E-6
Other conservatives           		0.21753784     		7.417917E-6
conservatives thought         		0.21753784     		7.417917E-6
thought to                    		1.0042528      		3.424445E-5
to be                         		29.0           		9.888835E-4
be on                         		1.0042528      		3.424445E-5
on the                        		66.0           		0.0022505627
the administration            		1.0042528      		3.424445E-5
administration 's             		0.21753784     		7.417917E-6
's short                      		0.21753784     		7.417917E-6
short list                    		0.21753784     		7.417917E-6
list include                  		0.21753784     		7.417917E-6
include Washington            		0.21753784     		7.417917E-6
Washington lawyer             		0.21753784     		7.417917E-6
lawyer Michael                		0.21753784     		7.417917E-6
Michael Uhlmann               		0.21753784     		7.417917E-6
Uhlmann ,                     		0.21753784     		7.417917E-6
, who                         		64.0           		0.0021823638
who was                       		8.380953       		2.8578576E-4
was passed                    		0.21753784     		7.417917E-6
passed over                   		0.21753784     		7.417917E-6
over for                      		0.21753784     		7.417917E-6
for the                       		0.0            		0.0
the No.                       		0.21753784     		7.417917E-6
No. 2                         		0.21753784     		7.417917E-6
2 job                         		0.21753784     		7.417917E-6
job at                        		0.21753784     		7.417917E-6
at the                        		29.0           		9.888835E-4
the Justice                   		0.21753784     		7.417917E-6
Justice Department            		0.21753784     		7.417917E-6
Department ,                  		0.21753784     		7.417917E-6
, and                         		0.0            		0.0
and Marshall                  		0.21753784     		7.417917E-6
Marshall Breger               		0.21753784     		7.417917E-6
Breger ,                      		0.21753784     		7.417917E-6
, chairman                    		0.0            		0.0
chairman of                   		0.0            		0.0
of a                          		15.6           		5.319512E-4
a U.S.                        		0.21753784     		7.417917E-6
U.S. agency                   		0.21753784     		7.417917E-6
agency on                     		0.21753784     		7.417917E-6
on administration             		0.21753784     		7.417917E-6
administration .              		1.0042528      		3.424445E-5
. The                         		0.0            		0.0
The new                       		2.6153846      		8.918314E-5
new products                  		0.21753784     		7.417917E-6
products allow                		0.21753784     		7.417917E-6
allow customers               		0.21753784     		7.417917E-6
customers to                  		0.21753784     		7.417917E-6
to add                        		0.21753784     		7.417917E-6
add Convex                    		0.21753784     		7.417917E-6
Convex machines               		0.21753784     		7.417917E-6
machines to                   		0.21753784     		7.417917E-6
to established                		0.21753784     		7.417917E-6
established systems           		0.21753784     		7.417917E-6
systems made                  		0.21753784     		7.417917E-6
made by                       		0.21753784     		7.417917E-6
by other                      		0.21753784     		7.417917E-6
other manufacturers           		0.21753784     		7.417917E-6
manufacturers ,               		0.21753784     		7.417917E-6
, which                       		9.5            		3.239446E-4
which ``                      		0.21753784     		7.417917E-6
`` opens                      		0.21753784     		7.417917E-6
opens up                      		0.21753784     		7.417917E-6
up a                          		1.0042528      		3.424445E-5
a phenomenal                  		0.21753784     		7.417917E-6
phenomenal market             		0.21753784     		7.417917E-6
market for                    		0.21753784     		7.417917E-6
for us                        		4.0147057      		1.368992E-4
us ,                          		1.8874773      		6.4361906E-5
, ''                          		0.0            		0.0
'' said                       		0.0            		0.0
said Robert                   		4.0147057      		1.368992E-4
Robert J.                     		1.0042528      		3.424445E-5
J. Paluck                     		0.21753784     		7.417917E-6
Paluck ,                      		0.21753784     		7.417917E-6
, Convex                      		0.21753784     		7.417917E-6
Convex 's                     		0.21753784     		7.417917E-6
's chairman                   		67.0           		0.002284662
chairman ,                    		46.5           		0.0015856237
, president                   		0.0            		0.0
president and                 		46.0           		0.001568574
and chief                     		0.0            		0.0
chief executive               		0.0            		0.0
executive .                   		8.380953       		2.8578576E-4
. Wilson                      		0.21753784     		7.417917E-6
Wilson H.                     		0.21753784     		7.417917E-6
H. Taylor                     		0.21753784     		7.417917E-6
Taylor ,                      		4.0147057      		1.368992E-4
, president                   		0.0            		0.0
president and                 		46.0           		0.001568574
and chief                     		0.0            		0.0
chief executive               		0.0            		0.0
executive officer             		115.0          		0.0039214347
officer of                    		0.0            		0.0
of this                       		0.0            		0.0
this insurance                		1.8874773      		6.4361906E-5
insurance and                 		0.21753784     		7.417917E-6
and financial                 		2.6153846      		8.918314E-5
financial services            		1.0042528      		3.424445E-5
services concern              		4.0147057      		1.368992E-4
concern ,                     		5.8333335      		1.9891337E-4
, was                         		52.0           		0.0017731705
was elected                   		30.0           		0.001022983
elected to                    		14.733334      		5.0239835E-4
to the                        		0.0            		0.0
the additional                		8.380953       		2.8578576E-4
additional post               		2.6153846      		8.918314E-5
post of                       		5.3333335      		1.8186365E-4
of chairman                   		11.25          		3.8361864E-4
chairman .                    		9.5            		3.239446E-4
. The                         		0.0            		0.0
The Fed                       		1.0042528      		3.424445E-5
Fed chairman                  		2.6153846      		8.918314E-5
chairman 's                   		8.380953       		2.8578576E-4
's caution                    		0.21753784     		7.417917E-6
caution was                   		0.21753784     		7.417917E-6
was apparent                  		0.21753784     		7.417917E-6
apparent again                		0.21753784     		7.417917E-6
again on                      		0.21753784     		7.417917E-6
on the                        		66.0           		0.0022505627
the Monday                    		0.21753784     		7.417917E-6
Monday morning                		1.0042528      		3.424445E-5
morning after                 		0.21753784     		7.417917E-6
after the                     		5.3333335      		1.8186365E-4
the market                    		4.117647       		1.4040944E-4
market 's                     		2.6153846      		8.918314E-5
's plunge                     		0.21753784     		7.417917E-6
plunge ,                      		0.21753784     		7.417917E-6
, when                        		11.25          		3.8361864E-4
when the                      		3.9230769      		1.337747E-4
the central                   		1.8874773      		6.4361906E-5
central bank                  		1.8874773      		6.4361906E-5
bank took                     		0.21753784     		7.417917E-6
took only                     		0.21753784     		7.417917E-6
only modest                   		0.21753784     		7.417917E-6
modest steps                  		0.21753784     		7.417917E-6
steps to                      		0.21753784     		7.417917E-6
to aid                        		0.21753784     		7.417917E-6
aid the                       		0.21753784     		7.417917E-6
the markets                   		1.8874773      		6.4361906E-5
markets .                     		1.8874773      		6.4361906E-5
. Cipher                      		0.21753784     		7.417917E-6
Cipher Data                   		0.21753784     		7.417917E-6
Data said                     		0.21753784     		7.417917E-6
said Mr.                      		14.733334      		5.0239835E-4
Mr. Marinaro                  		0.21753784     		7.417917E-6
Marinaro consequently         		0.21753784     		7.417917E-6
consequently has              		0.21753784     		7.417917E-6
has resigned                  		0.21753784     		7.417917E-6
resigned from                 		1.0042528      		3.424445E-5
from those                    		0.21753784     		7.417917E-6
those posts                   		2.6153846      		8.918314E-5
posts and                     		0.21753784     		7.417917E-6
and from                      		0.21753784     		7.417917E-6
from the                      		46.0           		0.001568574
the company                   		85.0           		0.0028984519
company 's                    		43.0           		0.0014662757
's board                      		0.0            		0.0
board .                       		0.0            		0.0
. Most                        		1.0042528      		3.424445E-5
Most notably                  		0.21753784     		7.417917E-6
notably ,                     		0.21753784     		7.417917E-6
, several                     		1.0042528      		3.424445E-5
several of                    		0.21753784     		7.417917E-6
of the                        		0.0            		0.0
the regulatory                		0.21753784     		7.417917E-6
regulatory steps              		0.21753784     		7.417917E-6
steps recommended             		0.21753784     		7.417917E-6
recommended by                		0.21753784     		7.417917E-6
by the                        		0.0            		0.0
the Brady                     		0.21753784     		7.417917E-6
Brady Task                    		0.21753784     		7.417917E-6
Task Force                    		1.0042528      		3.424445E-5
Force ,                       		1.0042528      		3.424445E-5
, which                       		9.5            		3.239446E-4
which analyzed                		0.21753784     		7.417917E-6
analyzed the                  		1.0042528      		3.424445E-5
the 1987                      		1.8874773      		6.4361906E-5
1987 crash                    		1.8874773      		6.4361906E-5
crash ,                       		0.21753784     		7.417917E-6
, would                       		9.529411       		3.2494753E-4
would be                      		8.8            		3.0007501E-4
be revived                    		0.21753784     		7.417917E-6
revived --                    		0.21753784     		7.417917E-6
-- especially                 		0.21753784     		7.417917E-6
especially because            		0.21753784     		7.417917E-6
because that                  		0.21753784     		7.417917E-6
that group                    		1.0042528      		3.424445E-5
group 's                      		4.0147057      		1.368992E-4
's chairman                   		67.0           		0.002284662
chairman is                   		2.6153846      		8.918314E-5
is now                        		0.21753784     		7.417917E-6
now the                       		1.0042528      		3.424445E-5
the Treasury                  		5.3333335      		1.8186365E-4
Treasury secretary            		0.21753784     		7.417917E-6
secretary .                   		0.21753784     		7.417917E-6
. Mr.                         		68.0           		0.0023187615
Mr. Gaubert                   		0.21753784     		7.417917E-6
Gaubert ,                     		0.21753784     		7.417917E-6
, who                         		64.0           		0.0021823638
who was                       		8.380953       		2.8578576E-4
was chairman                  		3.9230769      		1.337747E-4
chairman and                  		0.0            		0.0
and the                       		0.0            		0.0
the majority                  		0.21753784     		7.417917E-6
majority stockholder          		0.21753784     		7.417917E-6
stockholder of                		0.21753784     		7.417917E-6
of Independent                		1.0042528      		3.424445E-5
Independent American          		0.21753784     		7.417917E-6
American ,                    		0.21753784     		7.417917E-6
, had                         		4.0147057      		1.368992E-4
had relinquished              		0.21753784     		7.417917E-6
relinquished his              		0.21753784     		7.417917E-6
his control                   		1.0042528      		3.424445E-5
control in                    		1.0042528      		3.424445E-5
in exchange                   		0.21753784     		7.417917E-6
exchange for                  		0.21753784     		7.417917E-6
for federal                   		0.21753784     		7.417917E-6
federal regulators            		1.0042528      		3.424445E-5
regulators '                  		0.21753784     		7.417917E-6
' agreement                   		0.21753784     		7.417917E-6
agreement to                  		0.21753784     		7.417917E-6
to drop                       		1.0042528      		3.424445E-5
drop their                    		0.21753784     		7.417917E-6
their inquiry                 		0.21753784     		7.417917E-6
inquiry into                  		0.21753784     		7.417917E-6
into his                      		1.8874773      		6.4361906E-5
his activities                		0.21753784     		7.417917E-6
activities at                 		0.21753784     		7.417917E-6
at another                    		0.21753784     		7.417917E-6
another savings               		0.21753784     		7.417917E-6
savings and                   		1.0042528      		3.424445E-5
and loan                      		1.0042528      		3.424445E-5
loan .                        		0.21753784     		7.417917E-6
. And                         		5.3333335      		1.8186365E-4
And Bill                      		0.21753784     		7.417917E-6
Bill Konopnicki               		0.21753784     		7.417917E-6
Konopnicki ,                  		0.21753784     		7.417917E-6
, a                           		0.0            		0.0
a Safford                     		0.21753784     		7.417917E-6
Safford ,                     		0.21753784     		7.417917E-6
, Ariz.                       		0.21753784     		7.417917E-6
Ariz. ,                       		0.21753784     		7.417917E-6
, licensee                    		0.21753784     		7.417917E-6
licensee of                   		0.21753784     		7.417917E-6
of McDonald                   		0.21753784     		7.417917E-6
McDonald 's                   		0.21753784     		7.417917E-6
's Corp.                      		0.21753784     		7.417917E-6
Corp. who                     		1.0042528      		3.424445E-5
who is                        		4.117647       		1.4040944E-4
is chairman                   		14.733334      		5.0239835E-4
chairman of                   		0.0            		0.0
of the                        		0.0            		0.0
the company                   		85.0           		0.0028984519
company 's                    		43.0           		0.0014662757
's National                   		0.21753784     		7.417917E-6
National Operators            		0.21753784     		7.417917E-6
Operators Advisory            		0.21753784     		7.417917E-6
Advisory Board                		1.0042528      		3.424445E-5
Board ,                       		1.8874773      		6.4361906E-5
, says                        		14.733334      		5.0239835E-4
says some                     		0.21753784     		7.417917E-6
some fast-food                		0.21753784     		7.417917E-6
fast-food outlets             		0.21753784     		7.417917E-6
outlets ``                    		0.21753784     		7.417917E-6
`` could                      		0.21753784     		7.417917E-6
could be                      		1.8874773      		6.4361906E-5
be in                         		0.21753784     		7.417917E-6
in serious                    		0.21753784     		7.417917E-6
serious trouble               		0.21753784     		7.417917E-6
trouble ,                     		0.21753784     		7.417917E-6
, based                       		0.21753784     		7.417917E-6
based on                      		1.0042528      		3.424445E-5
on the                        		66.0           		0.0022505627
the amount                    		1.0042528      		3.424445E-5
amount of                     		1.0042528      		3.424445E-5
of discounting                		0.21753784     		7.417917E-6
discounting that              		0.21753784     		7.417917E-6
that seems                    		0.21753784     		7.417917E-6
seems to                      		0.21753784     		7.417917E-6
to be                         		29.0           		9.888835E-4
be going                      		0.21753784     		7.417917E-6
going on                      		0.21753784     		7.417917E-6
on .                          		1.0042528      		3.424445E-5
. ''                          		65.0           		0.0022164632
'' Richard                    		0.21753784     		7.417917E-6
Richard Breeden               		1.0042528      		3.424445E-5
Breeden ,                     		0.21753784     		7.417917E-6
, the                         		0.0            		0.0
the new                       		30.0           		0.001022983
new chairman                  		3.9230769      		1.337747E-4
chairman of                   		0.0            		0.0
of the                        		0.0            		0.0
the SEC                       		1.8874773      		6.4361906E-5
SEC ,                         		0.21753784     		7.417917E-6
, has                         		14.733334      		5.0239835E-4
has n't                       		5.8333335      		1.9891337E-4
n't taken                     		0.21753784     		7.417917E-6
taken a                       		0.21753784     		7.417917E-6
a formal                      		1.8874773      		6.4361906E-5
formal position               		0.21753784     		7.417917E-6
position on                   		0.21753784     		7.417917E-6
on the                        		66.0           		0.0022505627
the bill                      		3.9230769      		1.337747E-4
bill ,                        		0.21753784     		7.417917E-6
, which                       		9.5            		3.239446E-4
which would                   		1.0042528      		3.424445E-5
would also                    		2.6153846      		8.918314E-5
also require                  		0.21753784     		7.417917E-6
require investors             		0.21753784     		7.417917E-6
investors to                  		0.21753784     		7.417917E-6
to disclose                   		0.21753784     		7.417917E-6
disclose large                		0.21753784     		7.417917E-6
large trades                  		0.21753784     		7.417917E-6
trades and                    		0.21753784     		7.417917E-6
and give                      		0.21753784     		7.417917E-6
give the                      		4.0147057      		1.368992E-4
the SEC                       		1.8874773      		6.4361906E-5
SEC additional                		0.21753784     		7.417917E-6
additional authority          		0.21753784     		7.417917E-6
authority during              		0.21753784     		7.417917E-6
during market                 		0.21753784     		7.417917E-6
market emergencies            		0.21753784     		7.417917E-6
emergencies .                 		0.21753784     		7.417917E-6
. And                         		5.3333335      		1.8186365E-4
And ,                         		1.8874773      		6.4361906E-5
, with                        		5.8333335      		1.9891337E-4
with no                       		1.0042528      		3.424445E-5
no other                      		0.21753784     		7.417917E-6
other offers                  		0.21753784     		7.417917E-6
offers on                     		0.21753784     		7.417917E-6
on the                        		66.0           		0.0022505627
the table                     		1.0042528      		3.424445E-5
table ,                       		0.21753784     		7.417917E-6
, the                         		0.0            		0.0
the board                     		0.0            		0.0
board apparently              		0.21753784     		7.417917E-6
apparently felt               		0.21753784     		7.417917E-6
felt no                       		0.21753784     		7.417917E-6
no pressure                   		0.21753784     		7.417917E-6
pressure to                   		1.8874773      		6.4361906E-5
to act                        		0.21753784     		7.417917E-6
act on                        		0.21753784     		7.417917E-6
on it                         		0.21753784     		7.417917E-6
it .                          		9.529411       		3.2494753E-4
. In                          		39.0           		0.0013298779
In a                          		11.25          		3.8361864E-4
a statement                   		14.733334      		5.0239835E-4
statement ,                   		4.0147057      		1.368992E-4
, Craig                       		0.21753784     		7.417917E-6
Craig O.                      		0.21753784     		7.417917E-6
O. McCaw                      		0.21753784     		7.417917E-6
McCaw ,                       		1.0042528      		3.424445E-5
, chairman                    		0.0            		0.0
chairman and                  		0.0            		0.0
and chief                     		0.0            		0.0
chief executive               		0.0            		0.0
executive officer             		115.0          		0.0039214347
officer of                    		0.0            		0.0
of McCaw                      		0.21753784     		7.417917E-6
McCaw ,                       		1.0042528      		3.424445E-5
, said                        		0.0            		0.0
said :                        		3.9230769      		1.337747E-4
: ``                          		14.733334      		5.0239835E-4
`` We                         		4.117647       		1.4040944E-4
We trust                      		0.21753784     		7.417917E-6
trust LIN                     		0.21753784     		7.417917E-6
LIN will                      		0.21753784     		7.417917E-6
will take                     		1.8874773      		6.4361906E-5
take no                       		0.21753784     		7.417917E-6
no further                    		0.21753784     		7.417917E-6
further actions               		0.21753784     		7.417917E-6
actions that                  		0.21753784     		7.417917E-6
that favor                    		0.21753784     		7.417917E-6
favor BellSouth               		0.21753784     		7.417917E-6
BellSouth .                   		0.21753784     		7.417917E-6
. ''                          		65.0           		0.0022164632
'' Meanwhile                  		0.21753784     		7.417917E-6
Meanwhile ,                   		4.0147057      		1.368992E-4
, in                          		7.111111       		2.4248486E-4
in another                    		0.21753784     		7.417917E-6
another sign                  		0.21753784     		7.417917E-6
sign that                     		0.21753784     		7.417917E-6
that a                        		2.6153846      		8.918314E-5
a new                         		17.5           		5.967401E-4
new bid                       		1.8874773      		6.4361906E-5
bid is                        		0.21753784     		7.417917E-6
is n't                        		7.111111       		2.4248486E-4
n't imminent                  		0.21753784     		7.417917E-6
imminent ,                    		0.21753784     		7.417917E-6
, it                          		14.733334      		5.0239835E-4
it was                        		7.111111       		2.4248486E-4
was learned                   		0.21753784     		7.417917E-6
learned that                  		1.0042528      		3.424445E-5
that the                      		53.0           		0.00180727
the UAL                       		27.0           		9.206847E-4
UAL board                     		7.111111       		2.4248486E-4
board held                    		0.21753784     		7.417917E-6
held a                        		0.21753784     		7.417917E-6
a telephone                   		0.21753784     		7.417917E-6
telephone meeting             		0.21753784     		7.417917E-6
meeting Monday                		1.0042528      		3.424445E-5
Monday to                     		1.0042528      		3.424445E-5
to hear                       		1.0042528      		3.424445E-5
hear an                       		0.21753784     		7.417917E-6
an update                     		0.21753784     		7.417917E-6
update on                     		0.21753784     		7.417917E-6
on the                        		66.0           		0.0022505627
the situation                 		1.0042528      		3.424445E-5
situation ,                   		0.21753784     		7.417917E-6
, but                         		25.0           		8.524858E-4
but that                      		0.21753784     		7.417917E-6
that a                        		2.6153846      		8.918314E-5
a formal                      		1.8874773      		6.4361906E-5
formal board                  		0.21753784     		7.417917E-6
