Bigram                        		Count          		Probabiltites
at a                          		16.0           		0.16
a meeting                     		2.0            		0.0034364262
meeting of                    		1.0            		0.045454547
of the                        		266.0          		0.2835821
the Business                  		3.0            		0.0020979021
Business Council              		3.0            		0.375
Council in                    		1.0            		0.11111111
in Hot                        		1.0            		0.0027855153
Hot Springs                   		1.0            		1.0
Springs ,                     		1.0            		1.0
, Va.                         		1.0            		4.9407117E-4
Va. ,                         		1.0            		1.0
, when                        		11.0           		0.0054347827
when the                      		6.0            		0.21428572
the stock                     		8.0            		0.005594406
stock market                  		4.0            		0.1
market fell                   		1.0            		0.022222223
fell ,                        		1.0            		0.25
, and                         		88.0           		0.04347826
and remained                  		1.0            		0.0014771048
remained there                		1.0            		1.0
there through                 		1.0            		0.055555556
through the                   		9.0            		0.5
the following                 		1.0            		6.993007E-4
following day                 		1.0            		0.5
day .                         		1.0            		0.11111111
. He                          		30.0           		0.03003003
He will                       		5.0            		0.14285715
will remain                   		13.0           		0.114035085
remain chairman               		5.0            		0.2173913
chairman .                    		37.0           		0.066787004
. The                         		121.0          		0.12112112
The memo                      		1.0            		0.0065789474
memo attempts                 		1.0            		0.5
attempts to                   		2.0            		1.0
to remove                     		2.0            		0.0030816642
remove the                    		1.0            		0.5
the tourist                   		3.0            		0.0020979021
tourist board                 		3.0            		1.0
board as                      		4.0            		0.010928961
as far                        		1.0            		0.006666667
far as                        		1.0            		0.2
as possible                   		1.0            		0.006666667
possible from                 		1.0            		0.33333334
from the                      		22.0           		0.2682927
the agency                    		6.0            		0.0041958042
agency ,                      		1.0            		0.071428575
, which                       		37.0           		0.018280633
which pleaded                 		1.0            		0.021276595
pleaded innocent              		1.0            		1.0
innocent to                   		1.0            		1.0
to the                        		85.0           		0.13097073
the charges                   		1.0            		6.993007E-4
charges .                     		1.0            		0.33333334
. J.                          		1.0            		0.001001001
J. Michael                    		1.0            		0.03846154
Michael Cook                  		1.0            		0.07692308
Cook ,                        		1.0            		1.0
, chairman                    		187.0          		0.092391305
chairman of                   		225.0          		0.4061372
of Deloitte                   		1.0            		0.0010660981
Deloitte ,                    		1.0            		1.0
, Haskins                     		1.0            		4.9407117E-4
Haskins &                     		1.0            		1.0
& Sells                       		1.0            		0.025
Sells International           		1.0            		0.33333334
International ,               		1.0            		0.083333336
, said                        		100.0          		0.049407113
said he                       		21.0           		0.07473309
he believes                   		1.0            		0.011627907
believes the                  		1.0            		1.0
the legal                     		1.0            		6.993007E-4
legal action                  		2.0            		0.2857143
action by                     		1.0            		0.25
by the                        		43.0           		0.31851852
the British                   		5.0            		0.0034965035
British firm                  		1.0            		0.071428575
firm ``                       		1.0            		0.03448276
`` to                         		4.0            		0.016129032
to be                         		28.0           		0.0431433
be without                    		1.0            		0.009259259
without merit                 		1.0            		0.25
merit .                       		1.0            		1.0
. ''                          		64.0           		0.06406406
'' Other                      		1.0            		0.004166667
Other conservatives           		1.0            		0.25
conservatives thought         		1.0            		1.0
thought to                    		2.0            		0.6666667
to be                         		28.0           		0.0431433
be on                         		2.0            		0.018518519
on the                        		65.0           		0.43333334
the administration            		2.0            		0.0013986015
administration 's             		1.0            		0.09090909
's short                      		1.0            		0.0025974025
short list                    		1.0            		0.5
list include                  		1.0            		0.5
include Washington            		1.0            		0.14285715
Washington lawyer             		1.0            		0.16666667
lawyer Michael                		1.0            		1.0
Michael Uhlmann               		1.0            		0.07692308
Uhlmann ,                     		1.0            		1.0
, who                         		63.0           		0.031126482
who was                       		10.0           		0.10204082
was passed                    		1.0            		0.0057142857
passed over                   		1.0            		0.5
over for                      		1.0            		0.04761905
for the                       		40.0           		0.25641027
the No.                       		1.0            		6.993007E-4
No. 2                         		1.0            		1.0
2 job                         		1.0            		0.14285715
job at                        		1.0            		0.2
at the                        		28.0           		0.28
the Justice                   		1.0            		6.993007E-4
Justice Department            		1.0            		1.0
Department ,                  		1.0            		0.33333334
, and                         		88.0           		0.04347826
and Marshall                  		1.0            		0.0014771048
Marshall Breger               		1.0            		0.25
Breger ,                      		1.0            		1.0
, chairman                    		187.0          		0.092391305
chairman of                   		225.0          		0.4061372
of a                          		25.0           		0.026652452
a U.S.                        		1.0            		0.0017182131
U.S. agency                   		1.0            		0.071428575
agency on                     		1.0            		0.071428575
on administration             		1.0            		0.006666667
administration .              		2.0            		0.18181819
. The                         		121.0          		0.12112112
The new                       		4.0            		0.02631579
new products                  		1.0            		0.015151516
products allow                		1.0            		0.07692308
allow customers               		1.0            		0.33333334
customers to                  		1.0            		0.16666667
to add                        		1.0            		0.0015408321
add Convex                    		1.0            		0.5
Convex machines               		1.0            		0.5
machines to                   		1.0            		1.0
to established                		1.0            		0.0015408321
established systems           		1.0            		0.33333334
systems made                  		1.0            		0.2
made by                       		1.0            		0.05263158
by other                      		1.0            		0.0074074073
other manufacturers           		1.0            		0.028571429
manufacturers ,               		1.0            		1.0
, which                       		37.0           		0.018280633
which ``                      		1.0            		0.021276595
`` opens                      		1.0            		0.004032258
opens up                      		1.0            		1.0
up a                          		2.0            		0.0625
a phenomenal                  		1.0            		0.0017182131
phenomenal market             		1.0            		1.0
market for                    		1.0            		0.022222223
for us                        		5.0            		0.032051284
us ,                          		3.0            		0.33333334
, ''                          		115.0          		0.056818184
'' said                       		48.0           		0.2
said Robert                   		5.0            		0.017793594
Robert J.                     		2.0            		0.05
J. Paluck                     		1.0            		0.03846154
Paluck ,                      		1.0            		1.0
, Convex                      		1.0            		4.9407117E-4
Convex 's                     		1.0            		0.5
's chairman                   		66.0           		0.17142858
chairman ,                    		92.0           		0.16606498
, president                   		35.0           		0.01729249
president and                 		45.0           		0.5
and chief                     		157.0          		0.23190546
chief executive               		164.0          		0.86315787
executive .                   		10.0           		0.052910052
. Wilson                      		1.0            		0.001001001
Wilson H.                     		1.0            		1.0
H. Taylor                     		1.0            		0.09090909
Taylor ,                      		5.0            		0.5
, president                   		35.0           		0.01729249
president and                 		45.0           		0.5
and chief                     		157.0          		0.23190546
chief executive               		164.0          		0.86315787
executive officer             		114.0          		0.6031746
officer of                    		46.0           		0.34074074
of this                       		53.0           		0.0565032
this insurance                		3.0            		0.032967035
insurance and                 		1.0            		0.125
and financial                 		4.0            		0.0059084194
financial services            		2.0            		0.08695652
services concern              		5.0            		0.3846154
concern ,                     		9.0            		0.47368422
, was                         		51.0           		0.025197629
was elected                   		19.0           		0.108571425
elected to                    		12.0           		0.34285715
to the                        		85.0           		0.13097073
the additional                		10.0           		0.006993007
additional post               		4.0            		0.25
post of                       		7.0            		0.4375
of chairman                   		11.0           		0.011727079
chairman .                    		37.0           		0.066787004
. The                         		121.0          		0.12112112
The Fed                       		2.0            		0.013157895
Fed chairman                  		4.0            		0.21052632
chairman 's                   		10.0           		0.018050542
's caution                    		1.0            		0.0025974025
caution was                   		1.0            		1.0
was apparent                  		1.0            		0.0057142857
apparent again                		1.0            		0.33333334
again on                      		1.0            		0.33333334
on the                        		65.0           		0.43333334
the Monday                    		1.0            		6.993007E-4
Monday morning                		2.0            		0.18181819
morning after                 		1.0            		0.125
after the                     		7.0            		0.25
the market                    		13.0           		0.009090909
market 's                     		4.0            		0.08888889
's plunge                     		1.0            		0.0025974025
plunge ,                      		1.0            		0.5
, when                        		11.0           		0.0054347827
when the                      		6.0            		0.21428572
the central                   		3.0            		0.0020979021
central bank                  		3.0            		0.75
bank took                     		1.0            		0.03448276
took only                     		1.0            		0.083333336
only modest                   		1.0            		0.0625
modest steps                  		1.0            		0.16666667
steps to                      		1.0            		0.2
to aid                        		1.0            		0.0015408321
aid the                       		1.0            		0.33333334
the markets                   		3.0            		0.0020979021
markets .                     		3.0            		0.25
. Cipher                      		1.0            		0.001001001
Cipher Data                   		1.0            		1.0
Data said                     		1.0            		1.0
said Mr.                      		12.0           		0.042704627
Mr. Marinaro                  		1.0            		0.0056179776
Marinaro consequently         		1.0            		1.0
consequently has              		1.0            		1.0
has resigned                  		1.0            		0.011111111
resigned from                 		2.0            		0.11111111
from those                    		1.0            		0.0121951215
those posts                   		4.0            		0.30769232
posts and                     		1.0            		0.14285715
and from                      		1.0            		0.0014771048
from the                      		22.0           		0.2682927
the company                   		84.0           		0.05874126
company 's                    		42.0           		0.2857143
's board                      		48.0           		0.124675326
board .                       		57.0           		0.1557377
. Most                        		2.0            		0.002002002
Most notably                  		1.0            		0.5
notably ,                     		1.0            		0.25
, several                     		2.0            		9.881423E-4
several of                    		1.0            		0.14285715
of the                        		266.0          		0.2835821
the regulatory                		1.0            		6.993007E-4
regulatory steps              		1.0            		0.5
steps recommended             		1.0            		0.2
recommended by                		1.0            		1.0
by the                        		43.0           		0.31851852
the Brady                     		1.0            		6.993007E-4
Brady Task                    		1.0            		0.083333336
Task Force                    		2.0            		1.0
Force ,                       		2.0            		1.0
, which                       		37.0           		0.018280633
which analyzed                		1.0            		0.021276595
analyzed the                  		2.0            		1.0
the 1987                      		3.0            		0.0020979021
1987 crash                    		3.0            		0.33333334
crash ,                       		1.0            		0.25
, would                       		8.0            		0.0039525693
would be                      		21.0           		0.24418604
be revived                    		1.0            		0.009259259
revived --                    		1.0            		1.0
-- especially                 		1.0            		0.03846154
especially because            		1.0            		0.14285715
because that                  		1.0            		0.04761905
that group                    		2.0            		0.007782101
group 's                      		5.0            		0.11363637
's chairman                   		66.0           		0.17142858
chairman is                   		4.0            		0.0072202166
is now                        		1.0            		0.0053475937
now the                       		2.0            		0.13333334
the Treasury                  		7.0            		0.004895105
Treasury secretary            		1.0            		0.083333336
secretary .                   		1.0            		0.16666667
. Mr.                         		67.0           		0.067067064
Mr. Gaubert                   		1.0            		0.0056179776
Gaubert ,                     		1.0            		1.0
, who                         		63.0           		0.031126482
who was                       		10.0           		0.10204082
was chairman                  		6.0            		0.034285713
chairman and                  		140.0          		0.25270757
and the                       		40.0           		0.059084196
the majority                  		1.0            		6.993007E-4
majority stockholder          		1.0            		0.083333336
stockholder of                		1.0            		1.0
of Independent                		2.0            		0.0021321962
Independent American          		1.0            		0.5
American ,                    		1.0            		0.045454547
, had                         		5.0            		0.0024703557
had relinquished              		1.0            		0.020833334
relinquished his              		1.0            		1.0
his control                   		2.0            		0.025
control in                    		2.0            		0.15384616
in exchange                   		1.0            		0.0027855153
exchange for                  		1.0            		0.07692308
for federal                   		1.0            		0.0064102565
federal regulators            		2.0            		0.14285715
regulators '                  		1.0            		0.25
' agreement                   		1.0            		0.045454547
agreement to                  		1.0            		0.09090909
to drop                       		2.0            		0.0030816642
drop their                    		1.0            		0.11111111
their inquiry                 		1.0            		0.04347826
inquiry into                  		1.0            		0.33333334
into his                      		3.0            		0.13636364
his activities                		1.0            		0.0125
activities at                 		1.0            		0.5
at another                    		1.0            		0.01
another savings               		1.0            		0.071428575
savings and                   		2.0            		0.6666667
and loan                      		2.0            		0.0029542097
loan .                        		1.0            		0.25
. And                         		7.0            		0.007007007
And Bill                      		1.0            		0.125
Bill Konopnicki               		1.0            		0.33333334
Konopnicki ,                  		1.0            		1.0
, a                           		68.0           		0.03359684
a Safford                     		1.0            		0.0017182131
Safford ,                     		1.0            		1.0
, Ariz.                       		1.0            		4.9407117E-4
Ariz. ,                       		1.0            		1.0
, licensee                    		1.0            		4.9407117E-4
licensee of                   		1.0            		1.0
of McDonald                   		1.0            		0.0010660981
McDonald 's                   		1.0            		1.0
's Corp.                      		1.0            		0.0025974025
Corp. who                     		2.0            		0.033333335
who is                        		13.0           		0.13265306
is chairman                   		12.0           		0.06417112
chairman of                   		225.0          		0.4061372
of the                        		266.0          		0.2835821
the company                   		84.0           		0.05874126
company 's                    		42.0           		0.2857143
's National                   		1.0            		0.0025974025
National Operators            		1.0            		0.06666667
Operators Advisory            		1.0            		1.0
Advisory Board                		2.0            		0.6666667
Board ,                       		3.0            		0.16666667
, says                        		12.0           		0.0059288535
says some                     		1.0            		0.017857144
some fast-food                		1.0            		0.04347826
fast-food outlets             		1.0            		0.33333334
outlets ``                    		1.0            		1.0
`` could                      		1.0            		0.004032258
could be                      		3.0            		0.12
be in                         		1.0            		0.009259259
in serious                    		1.0            		0.0027855153
serious trouble               		1.0            		0.33333334
trouble ,                     		1.0            		0.5
, based                       		1.0            		4.9407117E-4
based on                      		2.0            		0.5
on the                        		65.0           		0.43333334
the amount                    		2.0            		0.0013986015
amount of                     		2.0            		1.0
of discounting                		1.0            		0.0010660981
discounting that              		1.0            		0.5
that seems                    		1.0            		0.0038910506
seems to                      		1.0            		0.25
to be                         		28.0           		0.0431433
be going                      		1.0            		0.009259259
going on                      		1.0            		0.14285715
on .                          		2.0            		0.013333334
. ''                          		64.0           		0.06406406
'' Richard                    		1.0            		0.004166667
Richard Breeden               		2.0            		0.0952381
Breeden ,                     		1.0            		0.5
, the                         		111.0          		0.0548419
the new                       		23.0           		0.016083917
new chairman                  		6.0            		0.09090909
chairman of                   		225.0          		0.4061372
of the                        		266.0          		0.2835821
the SEC                       		3.0            		0.0020979021
SEC ,                         		1.0            		0.125
, has                         		12.0           		0.0059288535
has n't                       		9.0            		0.1
n't taken                     		1.0            		0.011111111
taken a                       		1.0            		0.16666667
a formal                      		3.0            		0.005154639
formal position               		1.0            		0.25
position on                   		1.0            		0.0625
on the                        		65.0           		0.43333334
the bill                      		6.0            		0.0041958042
bill ,                        		1.0            		0.1
, which                       		37.0           		0.018280633
which would                   		2.0            		0.04255319
would also                    		4.0            		0.046511628
also require                  		1.0            		0.017857144
require investors             		1.0            		0.5
investors to                  		1.0            		0.07692308
to disclose                   		1.0            		0.0015408321
disclose large                		1.0            		1.0
large trades                  		1.0            		1.0
trades and                    		1.0            		1.0
and give                      		1.0            		0.0014771048
give the                      		5.0            		0.41666666
the SEC                       		3.0            		0.0020979021
SEC additional                		1.0            		0.125
additional authority          		1.0            		0.0625
authority during              		1.0            		0.33333334
during market                 		1.0            		0.2
market emergencies            		1.0            		0.022222223
emergencies .                 		1.0            		1.0
. And                         		7.0            		0.007007007
And ,                         		3.0            		0.375
, with                        		9.0            		0.00444664
with no                       		2.0            		0.018348623
no other                      		1.0            		0.05263158
other offers                  		1.0            		0.028571429
offers on                     		1.0            		0.2
on the                        		65.0           		0.43333334
the table                     		2.0            		0.0013986015
table ,                       		1.0            		0.5
, the                         		111.0          		0.0548419
the board                     		144.0          		0.1006993
board apparently              		1.0            		0.0027322404
apparently felt               		1.0            		1.0
felt no                       		1.0            		0.33333334
no pressure                   		1.0            		0.05263158
pressure to                   		3.0            		0.42857143
to act                        		1.0            		0.0015408321
act on                        		1.0            		0.5
on it                         		1.0            		0.006666667
it .                          		8.0            		0.08163265
. In                          		38.0           		0.038038038
In a                          		11.0           		0.25
a statement                   		12.0           		0.020618556
statement ,                   		5.0            		0.3125
, Craig                       		1.0            		4.9407117E-4
Craig O.                      		1.0            		1.0
O. McCaw                      		1.0            		0.14285715
McCaw ,                       		2.0            		0.33333334
, chairman                    		187.0          		0.092391305
chairman and                  		140.0          		0.25270757
and chief                     		157.0          		0.23190546
chief executive               		164.0          		0.86315787
executive officer             		114.0          		0.6031746
officer of                    		46.0           		0.34074074
of McCaw                      		1.0            		0.0010660981
McCaw ,                       		2.0            		0.33333334
, said                        		100.0          		0.049407113
said :                        		6.0            		0.021352313
: ``                          		12.0           		0.46153846
`` We                         		13.0           		0.052419353
We trust                      		1.0            		0.0625
trust LIN                     		1.0            		0.25
LIN will                      		1.0            		0.2
will take                     		3.0            		0.02631579
take no                       		1.0            		0.0625
no further                    		1.0            		0.05263158
further actions               		1.0            		0.125
actions that                  		1.0            		0.2
that favor                    		1.0            		0.0038910506
favor BellSouth               		1.0            		0.33333334
BellSouth .                   		1.0            		1.0
. ''                          		64.0           		0.06406406
'' Meanwhile                  		1.0            		0.004166667
Meanwhile ,                   		5.0            		1.0
, in                          		15.0           		0.0074110674
in another                    		1.0            		0.0027855153
another sign                  		1.0            		0.071428575
sign that                     		1.0            		1.0
that a                        		4.0            		0.015564202
a new                         		20.0           		0.03436426
new bid                       		3.0            		0.045454547
bid is                        		1.0            		0.03448276
is n't                        		15.0           		0.080213904
n't imminent                  		1.0            		0.011111111
imminent ,                    		1.0            		0.5
, it                          		12.0           		0.0059288535
it was                        		15.0           		0.15306123
was learned                   		1.0            		0.0057142857
learned that                  		2.0            		0.6666667
that the                      		52.0           		0.20233463
the UAL                       		14.0           		0.00979021
UAL board                     		15.0           		0.36585367
board held                    		1.0            		0.0027322404
held a                        		1.0            		0.14285715
a telephone                   		1.0            		0.0017182131
telephone meeting             		1.0            		0.25
meeting Monday                		2.0            		0.09090909
Monday to                     		2.0            		0.18181819
to hear                       		2.0            		0.0030816642
hear an                       		1.0            		0.5
an update                     		1.0            		0.012658228
update on                     		1.0            		1.0
on the                        		65.0           		0.43333334
the situation                 		2.0            		0.0013986015
situation ,                   		1.0            		0.25
, but                         		24.0           		0.011857707
but that                      		1.0            		0.028571429
that a                        		4.0            		0.015564202
a formal                      		3.0            		0.005154639
formal board                  		1.0            		0.25
board meeting                 		10.0           		0.027322404
meeting is                    		1.0            		0.045454547
is n't                        		15.0           		0.080213904
n't likely                    		3.0            		0.033333335
likely to                     		6.0            		0.85714287
to be                         		28.0           		0.0431433
be convened                   		1.0            		0.009259259
convened until                		1.0            		1.0
until early                   		2.0            		0.11764706
early next                    		3.0            		0.25
next week                     		1.0            		0.05
week .                        		3.0            		0.1875
. But                         		26.0           		0.026026025
But the                       		6.0            		0.20689656
the board                     		144.0          		0.1006993
board said                    		9.0            		0.024590164
said it                       		20.0           		0.071174376
it was                        		15.0           		0.15306123
was n't                       		6.0            		0.034285713
n't interested                		1.0            		0.011111111
interested for                		1.0            		0.25
for now                       		3.0            		0.01923077
now .                         		4.0            		0.26666668
. ``                          		93.0           		0.09309309
`` The                        		23.0           		0.09274194
The market                    		1.0            		0.0065789474
market today                  		1.0            		0.022222223
today has                     		1.0            		0.11111111
has a                         		5.0            		0.055555556
a life                        		3.0            		0.005154639
life of                       		2.0            		0.4
of its                        		29.0           		0.030916844
its own                       		4.0            		0.031007752
own ,                         		2.0            		0.18181819
, ''                          		115.0          		0.056818184
'' John                       		1.0            		0.004166667
John Akers                    		1.0            		0.023255814
Akers ,                       		1.0            		1.0
, chairman                    		187.0          		0.092391305
chairman of                   		225.0          		0.4061372
of International              		2.0            		0.0021321962
International Business        		3.0            		0.25
Business Machines             		3.0            		0.375
Machines Corp.                		2.0            		0.6666667
Corp. ,                       		37.0           		0.6166667
, said                        		100.0          		0.049407113
said Saturday                 		1.0            		0.0035587188
Saturday .                    		1.0            		1.0
. Sales                       		1.0            		0.001001001
Sales of                      		1.0            		1.0
of medium                     		1.0            		0.0010660981
medium and                    		1.0            		1.0
and heavy-duty                		1.0            		0.0014771048
heavy-duty trucks             		1.0            		1.0
trucks continue               		1.0            		0.33333334
continue to                   		3.0            		0.23076923
to lag                        		1.0            		0.0015408321
lag previous-year             		1.0            		1.0
previous-year rates           		1.0            		1.0
rates ,                       		1.0            		0.2
, leading                     		1.0            		4.9407117E-4
leading Eaton                 		1.0            		0.33333334
Eaton to                      		1.0            		1.0
to expect                     		1.0            		0.0015408321
expect fourth-quarter         		1.0            		0.33333334
fourth-quarter net            		1.0            		1.0
net income                    		2.0            		0.4
income to                     		1.0            		0.33333334
to fall                       		1.0            		0.0015408321
fall below                    		1.0            		0.5
below year-earlier            		1.0            		0.33333334
year-earlier levels           		1.0            		1.0
levels ,                      		1.0            		1.0
, said                        		100.0          		0.049407113
said Stephen                  		2.0            		0.0071174377
Stephen R.                    		1.0            		0.14285715
R. Hardis                     		1.0            		0.06666667
Hardis ,                      		1.0            		1.0
, vice                        		16.0           		0.007905139
vice chairman                 		43.0           		0.76785713
chairman and                  		140.0          		0.25270757
and chief                     		157.0          		0.23190546
chief financial               		7.0            		0.036842104
financial and                 		3.0            		0.13043478
and administrative            		1.0            		0.0014771048
administrative officer        		1.0            		0.5
